,loss,val_loss
0,23.4711,16.7631
1,20.6716,14.2048
2,21.1276,13.9305
3,19.5242,12.5346
4,18.2373,12.1597
5,18.0691,11.9042
6,17.1969,11.4134
7,17.4922,11.3484
8,17.7999,11.084
9,15.3905,11.3453
10,15.9209,10.5133
11,16.5253,10.6686
12,15.9028,10.324
13,16.7248,10.1486
14,14.8884,10.3218
15,14.9231,9.9777
16,14.7661,10.5851
17,14.6137,10.1051
18,15.8203,10.2185
19,15.6348,9.8198
20,15.2015,9.7604
21,15.5124,10.1859
22,13.6436,9.9183
23,13.2026,9.3146
24,13.5642,9.9796
25,14.2606,9.8285
26,14.2551,9.5576
27,14.5672,9.6713
28,14.2305,9.3334
29,14.082,9.5188
30,14.0385,9.5951
31,14.3945,9.7247
32,15.0233,9.4984
33,14.3569,9.436
34,14.917,9.6146
35,14.068,9.0864
36,14.3892,9.6054
37,12.8585,9.3867
38,15.0397,9.07
39,13.781,8.8684
40,13.723,9.3436
41,13.7183,8.9836
42,14.4141,8.8321
43,12.1593,9.1005
44,13.1207,9.1645
45,13.8074,9.2002
46,13.8875,9.1758
47,13.9891,9.0593
48,12.6219,8.9596
49,13.0272,8.7734
50,12.5248,8.9903
51,13.7833,8.9361
52,13.2533,9.009
53,13.2034,9.0889
54,12.7402,9.0949
55,12.9678,8.949
56,13.7155,8.8909
57,12.846,8.6326
58,12.3341,8.7955
59,13.7047,8.9487
60,13.5822,8.9596
61,12.6042,8.9145
62,12.9843,8.86
63,12.5608,8.7841
64,13.2283,8.747
65,12.7556,8.7933
66,12.697,8.4465
67,14.0709,8.5908
68,13.8937,8.669
69,12.6714,8.6027
70,13.5148,8.7366
71,13.6432,8.8257
72,11.9148,8.9139
73,13.2229,8.7109
74,12.6838,8.5358
75,13.8519,8.4798
76,12.4535,8.4167
77,13.8436,8.7168
78,13.1977,8.6331
79,13.151,8.5878
80,13.0493,8.7298
81,13.2916,8.4486
82,11.672,8.5483
83,13.1169,8.6895
84,12.7353,8.78
85,12.2583,8.7795
86,12.7449,8.7678
87,11.4397,8.5599
88,13.2196,8.4865
89,13.2211,8.446
90,12.303,9.0333
91,12.7014,8.6677
92,13.0193,8.4008
93,12.7692,8.4917
94,13.3,8.3267
95,12.6108,8.4345
96,13.6422,8.7787
97,12.8907,8.4358
98,12.0371,8.5481
99,13.2418,8.4118
100,13.6241,8.2416
101,12.6301,8.4395
102,13.8392,8.8245
103,11.9902,8.3896
104,12.2282,8.5665
105,12.8222,8.6495
106,13.6647,8.1278
107,12.7294,8.3357
108,11.7065,8.3542
109,12.8155,8.3395
110,12.8325,8.0695
111,13.3768,8.6166
112,12.678,8.1997
113,13.3828,8.1465
114,12.1137,8.4809
115,13.7294,8.4092
116,12.3678,8.2072
117,12.5305,8.1594
118,13.3355,8.116
119,13.3086,8.3533
120,13.6798,8.3801
121,12.3575,8.2242
122,12.4945,8.2082
123,13.4376,8.2851
124,12.7999,8.2116
125,12.7981,8.1092
126,12.0202,8.0615
127,12.6981,8.3052
128,11.9278,8.1641
129,13.7296,8.2041
130,12.3634,8.3321
131,13.0523,8.3196
132,12.2174,8.1385
133,12.5968,8.3373
134,12.4955,8.2969
135,12.0928,8.248
136,12.0515,8.1645
137,11.8089,8.3513
138,12.7895,8.2679
139,12.9044,7.9553
140,13.1344,7.9886
141,12.6235,8.2039
142,12.4454,8.2533
143,11.6392,8.2768
144,13.1998,8.0557
145,13.0635,8.262
146,12.386,8.1044
147,12.8038,8.1722
148,13.4909,8.2266
149,12.2145,8.0734
150,12.0779,8.1205
151,13.5477,8.1172
152,12.5505,8.3395
153,11.7495,8.0734
154,11.809,8.2143
155,11.3086,8.2035
156,12.1268,8.1319
157,11.7397,8.0071
158,12.7161,8.0622
159,11.7088,8.0886
160,11.7396,7.9996
161,12.2161,8.0752
162,13.7597,8.1565
163,12.3676,7.8835
164,12.8114,8.1809
165,12.9658,8.2287
166,11.7516,8.1989
167,12.7495,8.0828
168,13.0975,8.0595
169,12.09,7.9314
170,11.6488,8.1858
171,13.2024,8.1891
172,11.5302,7.9662
173,12.0965,8.3119
174,11.6668,7.8493
175,11.9779,7.9992
176,12.6823,8.322
177,12.8503,7.8887
178,13.5222,8.0217
179,12.8829,8.0273
180,11.5487,8.069
181,12.6851,7.8348
182,12.2055,7.8002
183,12.1278,7.9797
184,12.515,8.1277
185,12.6068,7.9307
186,11.5248,7.9857
187,12.6756,8.0756
188,12.6968,8.1431
189,12.0714,8.2091
190,12.3317,7.8407
191,13.2048,8.0866
192,12.7718,8.0746
193,12.4398,8.0308
194,11.4717,8.0294
195,12.3731,8.0471
196,12.9446,7.9407
197,12.5266,8.0243
198,13.0302,7.9265
199,12.7825,7.8324
